epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.549,1.45001,3.61962,1.11119,0.42843,0.69383,0.52481,0.31898,1.41037,1.623,1.09693,0.00333082,0.00333082,0.00333082
2,313.734,1.32901,1.77636,1.10759,0.91832,0.92697,0.9754,0.67227,1.11668,0.7639,1.0074,0.00659818,0.00659818,0.00659818
3,464.549,1.30468,1.32333,1.11053,0.96447,0.9646,0.99069,0.69128,1.09076,0.64815,1.02082,0.00979954,0.00979954,0.00979954
4,614.628,1.2917,1.07468,1.10869,0.9875,0.98895,0.99414,0.63822,1.31098,0.56398,1.09461,0.009703,0.009703,0.009703
5,764.685,1.25289,0.87123,1.09093,0.99417,0.99438,0.99455,0.68086,1.19432,0.50617,1.03813,0.009604,0.009604,0.009604
6,914.844,1.23364,0.77365,1.0809,0.99426,0.9965,0.99466,0.65276,1.29157,0.48919,1.07845,0.009505,0.009505,0.009505
7,1064.98,1.21811,0.72643,1.0732,0.99598,0.99659,0.9949,0.72059,1.07658,0.43245,0.9969,0.009406,0.009406,0.009406
8,1215.22,1.20204,0.69131,1.06665,0.99639,0.99772,0.99495,0.76888,0.91065,0.40108,0.94845,0.009307,0.009307,0.009307
9,1365.5,1.19485,0.66997,1.06116,0.99766,0.99863,0.99496,0.77864,0.8733,0.3784,0.92928,0.009208,0.009208,0.009208
10,1515.62,1.1898,0.6513,1.05677,0.99815,0.99848,0.995,0.79153,0.84607,0.37224,0.92503,0.009109,0.009109,0.009109
